,Date,Open,High,Low,Close,UpTrend,DownTrend
0,2016-01-04,142.5,143.5,139.0,139.5,,
1,2016-01-05,139.0,140.0,137.0,138.0,,
2,2016-01-06,138.0,138.0,135.0,135.5,,
3,2016-01-07,134.5,135.0,130.5,133.0,,
4,2016-01-08,132.0,135.0,132.0,134.0,,
5,2016-01-11,133.0,134.5,130.5,133.0,,
6,2016-01-12,133.0,134.0,131.5,133.0,,
7,2016-01-13,133.5,135.5,133.0,133.5,,
8,2016-01-14,130.5,132.0,130.5,131.5,UP,
9,2016-01-15,137.5,138.0,135.5,137.0,UP,
10,2016-01-18,135.0,138.0,134.5,137.0,UP,
11,2016-01-19,137.5,138.0,136.0,138.0,UP,
12,2016-01-20,137.5,137.5,133.5,134.5,UP,
13,2016-01-21,134.0,136.5,134.0,135.0,UP,
14,2016-01-22,136.5,138.5,136.0,138.5,UP,
15,2016-01-25,140.0,140.0,139.0,139.5,UP,
16,2016-01-26,137.5,139.0,137.0,137.5,UP,
17,2016-01-27,139.0,139.5,138.5,139.5,UP,
18,2016-01-28,138.0,140.5,138.0,140.0,UP,
19,2016-01-29,138.5,143.0,138.0,143.0,UP,
20,2016-01-30,142.5,143.0,141.0,142.0,UP,
21,2016-02-01,144.0,144.0,141.5,144.0,UP,
22,2016-02-02,144.0,144.5,141.5,142.5,UP,
23,2016-02-03,145.0,146.0,144.5,146.0,UP,
24,2016-02-15,142.0,146.5,142.0,145.0,UP,
25,2016-02-16,146.0,148.0,145.5,147.5,UP,
26,2016-02-17,149.0,149.0,147.0,148.0,UP,
27,2016-02-18,150.0,151.0,149.5,151.0,UP,
28,2016-02-19,149.0,151.0,149.0,151.0,UP,
29,2016-02-22,149.5,152.5,149.5,151.0,UP,
30,2016-02-23,150.5,151.0,149.0,149.5,UP,
31,2016-02-24,149.5,150.5,147.0,148.0,UP,
32,2016-02-25,149.0,151.0,148.5,150.5,UP,
33,2016-02-26,151.0,151.5,148.0,149.0,UP,
34,2016-03-01,148.5,152.0,148.5,152.0,UP,
35,2016-03-02,154.0,154.5,153.0,153.0,UP,
